WT	KO	group	symbol
228.6667	178.8647	None	Hsd17b11
40.172	36.4472	None	Vamp7
7.0042	15.4931	None	Rsad2
12.2042	18.157	None	Pold3
777.5466	545.7349	None	Pcbd1
0.8902	2.7362	Up	Mcm5
6.2722	7.0079	None	Rasal2
7.6164	3.9421	None	Snrpe
2639.0106	2368.2053	None	Pgrmc1
17.6747	18.7368	None	Rgl3
0.052	0.5717	None	Lexm
22.6794	70.3582	None	Ifrd1
8.2942	10.2419	None	Dmap1
57.3415	110.2465	None	Rab32
166.4458	115.4759	None	Cyc1
5.4623	15.9367	Up	Cmklr1
7.6631	9.6175	None	Ncoa1
2.4323	2.9502	None	Slco3a1
12.3164	13.4684	None	Trim23
11.0113	7.3804	None	Nrp2
31.6847	34.9026	None	Fbxo8
610.7393	1458.265	Up	Actb
7.2196	17.1641	Up	Gm11437
2.0333	12.2348	Up	Fblim1
0.1642	1.4114	None	2700099C18Rik
20.2498	18.065	None	Cmtr1
1.7738	3.673	None	Gm15270
3.7715	6.8875	None	Prkd2
27.7852	33.7594	None	Cpne1
18.8361	25.3477	None	Imp4
38.7091	30.1057	None	Cdk18
1.2527	3.4232	None	Gm14207
1.775	0.1406	Down	Slc13a2
6.1278	7.2415	None	Vps13b
0.4871	0.787	None	BC049352
8.0538	16.6327	None	Epn2
6.1857	7.6189	None	Hic1
10.1335	9.9635	None	Phf10
9.7639	11.9503	None	Ccz1
8.9818	12.5201	None	Klhdc4
46.6937	42.7286	None	Eif2s2
29.4529	39.18	None	Ppp2r2d
0.2684	0.6686	None	4931403G20Rik
5.2674	4.2795	None	Gm16675
183.8971	331.1708	None	Entpd5
55.9451	51.744	None	Keap1
208.1998	230.1338	None	Mrps34
9.3011	12.8259	None	Papss1
1496.7505	984.8328	None	Cat
2.0585	2.0662	None	A330069E16Rik
8.0157	6.4419	None	Zfp938
5.1731	11.0096	None	Mir6956
198.2581	138.055	None	Fcgrt
13.6805	14.5728	None	Swsap1
22.2612	26.9612	None	Nup62
5.1547	13.7256	Up	Myef2
5.729	6.1006	None	Etaa1
7.3753	3.5286	Down	Cpsf4l
183.4797	172.237	None	Gns
0.0367	0.3189	None	Prdm5
2.3501	1.3834	None	Gm14434
35.0118	79.1354	Up	Cotl1
27.1022	30.4499	None	Ppp2cb
1.0962	0.5199	None	H3c6
0.2269	0.5939	None	Rtl6
150.2703	139.9668	None	Dnajc3
52.0269	62.6242	None	Fam234a
0.3898	1.313	None	Sprr2a1
117.2875	135.9663	None	Bzw1
0.1889	0.1984	None	Grin2d
43.205	38.7999	None	Dda1
121.5047	79.6371	None	Bphl
2.6575	2.2975	None	Helq
37.2345	23.3488	None	1700066M21Rik
1.9848	4.1419	None	Ngp
4.9584	3.2927	None	Elp6
26.2037	35.2305	None	Bbc3
3.5171	14.2586	Up	Ms4a6c
50.5563	32.574	None	Snora70
0.0181	0.1747	None	Pcdha5
16.1312	20.6076	None	Map3k10
45.7377	35.3865	None	Car8
17.3211	16.902	None	Get4
3.741	2.8111	None	2700097O09Rik
38.8547	29.6535	None	Tfam
297.4569	179.5639	None	Chchd10
0.9527	3.2823	Up	Atp1b2
0.3286	0.1402	None	Edaradd
70.0642	56.1047	None	Anpep
76.7555	65.0048	None	LTO1
25.086	27.8284	None	Zyg11b
14.6607	31.4475	None	Ptgs1
12.4365	19.4302	None	Tsc22d2
0.5388	1.2271	None	Hspb7
15.7892	14.5869	None	Phf2
44.1889	32.1523	None	Prkaa2
10.849	13.8196	None	Fam160b2
42.3614	33.5004	None	Ift20
16.5406	23.5903	None	Pop4
78.0723	89.1764	None	Acp1
0.1026	0.0732	None	Stxbp5l
29.6537	37.7033	None	Msantd4
20.6677	30.0528	None	Zmiz1
10.1682	16.1768	None	Septin10
34.1621	65.2645	None	Dsp
0.34	0.4453	None	Zfp462
3.1437	3.7301	None	Smn1
1.1029	1.1729	None	Nova2
28.104	46.7708	None	Kras
12.2721	14.1776	None	Stoml2
7.0339	2.5629	None	AY074887
13.4425	18.2336	None	Tmem165
19.3798	14.7764	None	Zfp574
0.4048	0.9882	None	Dnaaf3
18.9999	1.2798	None	Mir3112
9.3611	8.0852	None	Fbxo7
7.2046	9.4267	None	Thop1
6.9297	1.95	Down	Sult1c2
0.6732	0.4929	None	Ttc6
1.1582	1.7907	None	6430571L13Rik
2.4298	68.281	Up	Serpinb6b
6.3355	11.1842	None	Mr1
52.2832	50.1933	None	Hnrnpa3
18.8597	16.2191	None	Mrpl17
3.2543	11.0839	Up	Plin4
0.0993	0.0535	None	9330182L06Rik
3.0727	5.6451	None	Thoc6
1.9429	2.2733	None	Cdkal1
0.0639	0.4183	None	Dlg2
0.5045	1.0752	None	Tspan5
41.7368	36.3998	None	Rbm25
0.7724	2.1505	None	Gm14295
8.6029	9.7303	None	Scrib
1.7664	2.034	None	Il4i1
0.9622	0.2442	None	Mesp2
6.498	8.3409	None	Smg9
14.1528	12.317	None	Lsm6
9.3333	10.3674	None	Gps2
37.3158	43.3808	None	Mreg
12.7355	20.1525	None	Cic
52.1147	48.2018	None	Abce1
4.7848	6.1262	None	Camsap1
11.4172	15.4443	None	Camsap3
9.6118	12.6149	None	Smarca4
0.3742	5.4211	Up	Slc1a1
14.2461	20.4948	None	Rps23
27.746	31.8004	None	Gm5643
7.9082	10.2829	None	Slc9a6
8.4189	16.9588	None	Lrsam1
11.1491	10.1879	None	Gripap1
25.659	20.2424	None	Rcc1l
39.5978	40.9999	None	Trappc1
1.1441	0.6922	None	Ccdc73
50.8668	63.4268	None	Gm21188
22.9611	47.5014	None	Tpst2
4.1664	4.7753	None	Gm10509
14.4459	18.5071	None	Kdm6b
8.2567	8.0875	None	Atg2b
3.9716	5.965	None	Tmem273
1.2187	8.0807	None	H4c11
48.4441	35.1316	None	Mzt2
1.0602	0.8408	None	Lck
23.368	19.6405	None	Gtf2h1
0.5742	3.2043	Up	Adamts15
4.2353	4.8326	None	Ago4
1.5073	1.928	None	4930594M22Rik
34.3267	38.5598	None	Stx12
399.5898	182.4858	Down	Pipox
10.3798	15.5934	None	Chst15
0.9528	3.5419	None	Tbxas1
2342.8233	1504.0449	None	Rdh7
77.6757	98.3146	None	Tmem30b
7.1804	6.355	None	Actr10
0.5774	0.0507	None	Wnt6
25.919	24.0723	None	Tmem33
2.7691	3.3871	None	Chrd
0.1274	0.1941	None	Dlk1
17.3737	20.867	None	Efcab14
43.0492	40.9696	None	Mrps18b
14.5306	15.5048	None	Zfp830
1.5822	1.0197	None	Dlgap1
32.1516	29.9016	None	Snx9
3.6489	8.9892	Up	Meis1
544.0105	426.6722	None	Pcyt2
10.6913	6.7328	None	Ggnbp1
38.7278	40.5243	None	Fam114a2
1.2505	1.1056	None	Igf1r
0.8077	0.0351	Down	Chst1
33.2808	35.3962	None	Bace1
70.0134	60.939	None	Epb41
74.5452	122.5018	None	Stat3
11.6288	17.3778	None	Mier2
7.9426	6.9962	None	Pdia5
3.1499	1.8015	None	Rps15a
1.5131	0.7721	None	Nfe2l3
26.3095	37.6605	None	Rabep1
72.029	83.0629	None	Ncoa4
26.149	26.0861	None	Txlna
36.7371	64.8956	None	Rcan1
47.3087	63.3516	None	Csk
0.9203	3.2768	Up	Kcnk13
1.2492	1.023	None	Art2b
6.2919	9.6862	None	Camk1
14.0681	17.3819	None	Arhgap12
0.5135	0.2748	None	Fbxl12os
11.0861	20.5258	None	Uhrf1bp1
0.0954	0.748	None	Ttk
27.4607	36.9375	None	Ubxn2a
0.2194	0.4729	None	Zfp459
100.8272	104.4065	None	Vcp
23.093	30.1858	None	Vps36
0.1076	0.2504	None	C920009B18Rik
15.6949	15.2935	None	Klhl2
4.6873	5.0175	None	Xrcc4
2.6665	2.5532	None	Cfap126
1.8761	0.6419	None	Awat2
1.0646	2.2889	None	Plxna4
16.7718	11.6983	None	Ppm1m
0.3963	0.7257	None	Etv1
357.044	467.647	None	Pnpo
11.0865	12.5244	None	Pmpcb
3.5604	3.5818	None	Nox1
32.9375	35.7234	None	Snord22
4.3989	4.2621	None	Ell3
43.7204	128.0576	Up	Vat1
1138.3093	818.4349	None	Crp
2.6316	18.5395	Up	2310034O05Rik
36.2979	37.4494	None	Mrpl40
182.9333	178.0362	None	F5
0.2925	0.06	None	Rassf10
7.805	3.3012	Down	Rdm1
21.1812	22.87	None	Ncoa2
36.4555	15.4004	Down	Mme
8.2059	18.2552	None	Pdzrn3
11.9241	20.7177	None	Cnn2
18.2272	35.9429	None	Rnf141
18.1742	14.1984	None	Riox1
0.0771	0.2015	None	Klri2
32.2876	40.108	None	Pisd
6.0913	8.723	None	Med30
0.6947	0.314	None	4930509G22Rik
15.5613	27.5955	None	Chic2
2.6403	6.2572	Up	Gas2l3
0.0523	0.6635	None	Tpbg
25.1944	23.123	None	Lsm14a
0.5723	0.6485	None	Mgarp
261.0148	314.7129	None	Eif4h
12.1841	10.7967	None	Eapp
30.1253	50.4717	None	Marcks
2.3452	5.1867	None	Arhgef6
2.5362	5.1528	None	Kif3a
10.0393	11.1983	None	Exph5
10.2035	25.1885	Up	Dpp7
107.1183	127.7331	None	Pabpc1
9.6962	18.3364	None	Dhrs13
36.4229	85.452	Up	Mafk
1.1627	1.4159	None	Cyfip2
19.3173	41.1512	None	Vasp
0.3338	0.1893	None	Cyb5r2
0.5193	1.2983	None	Fbxl16
43.0686	37.5695	None	Nrbp2
0.2336	0.3325	None	Klrb1b
6.6171	6.0166	None	Med14
42.5853	40.5135	None	Dusp11
1.8545	6.2405	Up	Arhgap11a
16.6355	28.4998	None	Bloc1s3
0.9232	1.467	None	Cd200
1.5268	4.625	None	Ncf4
5.4378	8.7346	None	Rapgef5
0.1837	0.696	None	Lgi3
323.2669	0.2327	Down	Mup1
8.6394	15.8313	None	Particl
7.7088	8.4027	None	Pwwp3a
1.6967	1.1394	None	Kcnk3
1.0808	1.3631	None	Katnb1
53.4148	80.8186	None	Chmp1b
0.8445	1.4124	None	Gpm6b
20.5313	19.3561	None	Tbce
0.6519	0.5982	None	4930513N10Rik
5.5026	3.0895	Down	Efna5
127.9134	110.8651	None	Acnat1
0.6497	1.1025	None	Epcam
1.6625	2.9448	None	Adamts6
3.7819	8.2147	None	Plp2
10.4246	11.5682	None	Fbxo28
223.8067	155.8382	None	Cpt2
3.8192	2.7353	None	Dclre1c
3.2548	2.3339	None	Psph
86.3177	85.5381	None	Tex264
64.9363	66.9372	None	Fam168b
0.2809	0.3021	None	Bnipl
12.1692	10.5701	None	Rpusd3
37.0759	46.5986	None	Slc3a2
15.9304	15.3983	None	Zfp672
158.2921	85.3755	Down	Hgfac
13.8917	21.0144	None	Pak4
1.1104	2.3069	None	Nodal
502.9009	315.0613	None	Vkorc1
55.7813	28.9877	Down	Pex11g
12.2236	12.0735	None	Usp45
54.2909	56.8061	None	Bccip
40.0007	35.4083	None	Atg13
7.6811	21.0678	Up	Pigf
0.2427	0.8285	None	Hsh2d
5.4976	4.0044	None	Psme2
0.5809	0.6818	None	Setbp1
19.7595	1.1844	Down	A930033H14Rik
31.6567	34.2821	None	Rchy1
434.6643	14.6861	Down	Cyp2c40
6.0219	10.8029	None	Sema4b
5.2009	5.2279	None	Zscan12
20.606	10.0085	Down	A230083G16Rik
10.8157	9.7353	None	Micos10
23.6243	25.0275	None	Angel2
18.5021	20.9936	None	Ube3c
10.6032	19.2539	None	Atp9a
3.1133	4.1357	None	1700030C10Rik
0.5375	0.7011	None	Fut7
41.1207	52.5984	None	Oga
3.5405	7.129	None	Rab34
0.057	0.0789	None	Nwd2
0.1614	0.5319	None	Trim72
47.9811	47.5868	None	4932702P03Rik
284.7132	235.2898	None	Lactb2
7.0279	6.8457	None	Meaf6
23.62	26.5951	None	Ssrp1
89.1549	83.8883	None	Rpl15
0.4872	1.2525	None	Lingo1
11.8189	17.3877	None	Setd2
10.9506	12.3178	None	Cep57
41.8314	382.4044	Up	Saa2
2.6451	3.0877	None	Mapk11
25.0525	15.2314	None	Gas5
5.1399	3.8808	None	Rbis
35.436	28.6051	None	Prr14
8.9773	14.3933	None	Tmem263
0.4745	0.8627	None	Nup93
46.7824	39.6161	None	Tomm40
229.8311	260.1697	None	Cnn3
0.311	1.0463	None	Hoxb7
0.3557	2.3288	Up	Rasl10b
15.0508	5.3759	Down	4931403E22Rik
46.5756	42.5744	None	Dtx3l
1.1764	1.0309	None	A930006K02Rik
3.7977	3.8242	None	Sox17
0.5962	1.6539	None	Slc7a1
0.0752	0.8108	None	Csf3
61.2402	61.5878	None	Cops7a
90.9949	154.111	None	Dusp6
225.2355	1019.3749	Up	H3f3b
0.9523	0.9732	None	Gjc1
169.7413	239.4937	None	Tmem150a
3.6882	4.6693	None	Mir1668
0.0825	0.3883	None	Meox2
42.4116	41.1981	None	Lsm4
21.3824	17.4351	None	Uspl1
1.139	2.5209	None	Tspan32
46.2631	42.2165	None	Abca3
0.1536	0.4275	None	Kcna3
53.1481	42.8894	None	Pex7
0.9061	1.8762	None	Wdr60
12.7694	12.6761	None	Polg
3.6609	38.4304	Up	Tuba8
14.531	15.3191	None	Clns1a
5.7174	4.1563	None	Mettl22
1.6309	0.562	None	9630013K17Rik
13.7672	15.5816	None	Tmem87a
18.9387	5.4496	None	Snord37
13.1411	8.9622	None	Cfhr3
10.2636	12.7364	None	R3hcc1l
51.8903	52.022	None	Dnajc14
9.9101	14.0782	None	Rcn1
6.0558	8.0295	None	Blzf1
0.4995	0.0106	Down	Col25a1
0.4715	1.1506	None	Ccl4
75.1063	26.2216	Down	Mfsd4b1
44.1136	42.9496	None	Tm6sf2
2.7919	5.9752	None	Itprip
0.7051	1.7163	None	4930415O20Rik
0.7117	2.6352	Up	Vav1
41.9537	47.8989	None	Cd99l2
8.3519	67.3995	Up	Olfml3
15.4317	16.0629	None	Zc3h10
1.2419	0.7184	None	Gm19395
11.4161	6.5148	None	Acyp1
21.1419	35.633	None	Mocos
13.2539	26.993	None	Ednrb
31.7983	31.1648	None	Crb3
17.5143	16.4908	None	E2f6
6.2905	7.9253	None	Bbs10
4.0297	1.8932	None	H2ac8
25.511	27.7072	None	Pank2
0.5596	16.5573	Up	Thbs1
896.247	458.2062	Down	Fads1
83.4928	68.9799	None	Bet1
65.1242	85.3719	None	Rtf2
4.8903	6.7873	None	Wars2
1.273	1.2436	None	Gjc3
21.8445	112.5801	Up	Ccn1
90.256	63.3021	None	Atl2
32.0764	31.3344	None	Zfp110
14.877	11.5758	None	Yif1a
8.8518	9.8876	None	Rtl8c
30.1337	29.3913	None	Pgam5
92.3513	86.0849	None	Psmd3
9.7981	11.3539	None	Alkbh1
20.306	20.0953	None	Aasdhppt
13.6207	101.4429	Up	Phospho1
0.5533	0.5126	None	Adipoq
9.4487	12.5611	None	Cyb5r1
0.0813	0.1646	None	Lrrc2
84.3083	85.5794	None	Utp3
32.118	27.4676	None	Dars
16.2156	18.5892	None	Klf11
285.9231	270.001	None	Hsp90b1
0.1954	0.2468	None	Sptbn5
3.1905	9.0933	Up	Pdlim7
12.3128	17.2108	None	AU040320
2.3961	3.7729	None	Zfp28
8.7761	4.9782	None	Slc25a21
11.0277	14.7831	None	Usp48
9.9631	7.6816	None	Blvra
3.275	3.6414	None	Snrpn
14.1838	19.7837	None	Scaf8
0.233	0.1635	None	Cdc45
65.6606	94.4902	None	Evi5
3.7954	3.6643	None	Zfp40
1.6056	4.8453	Up	Ripk3
4.0989	5.0249	None	2810002D19Rik
6.8152	7.3512	None	Ndufv2
3.6137	4.0898	None	Zfp54
30.9872	27.9622	None	Nudc
2.3159	2.7818	None	Cpm
135.5067	159.813	None	Ywhab
1.7362	2.8274	None	Gpatch1
1.7628	3.1865	None	Jaml
24.8371	24.3582	None	Nub1
14.2989	15.017	None	Rnf8
6.2976	7.3198	None	Rnf113a1
6.4023	122.2619	Up	Nr4a1
2.2387	1.7452	None	Ctnnbl1
5.9364	2.1409	None	Gm35549
72.3622	74.6013	None	Sgta
41.9137	48.9358	None	Rnf115
28.1686	31.6543	None	Taok2
17.7796	17.7341	None	Wdr73
0.2315	1.1222	None	Mis18bp1
0.4705	0.2135	None	Hormad2
41.9431	57.135	None	Akirin1
0.2912	0.2126	None	Apol11b
16.9406	12.4836	None	Ptdss2
1.107	3.829	Up	Pkia
0.3911	4.2861	Up	Gm4907
1.5958	3.2042	None	Zfp202
57.0445	83.8223	None	Rragc
70.8356	60.8518	None	Atad1
4.4226	2.3991	None	5830454E08Rik
9.7883	7.939	None	Tnfsf10
2.7039	19.018	Up	Pdgfc
17.5148	20.7479	None	Taok1
8.7958	10.0562	None	Sipa1
3.8464	3.9272	None	Haus7
0.4164	0.328	None	Nap1l5
22.1454	22.2151	None	Pnpla7
63.6481	159.1025	None	Nfkbia
49.464	40.4974	None	0610030E20Rik
49.195	34.42	None	Hyi
12.8786	21.9697	None	Mib2
13.1612	34.9956	Up	Rhoq
2.1246	2.503	None	Ccdc102a
75.2388	76.4423	None	Pcbp2
47.3196	40.6411	None	Fdx1
31.1461	34.3041	None	Usp47
3.5133	2.6523	None	Tmem138
16.1279	13.476	None	Eef1d
0.4446	0.4668	None	Thbs3
13.8819	20.8416	None	Slc35e3
4.8161	8.1636	None	Hdac7
38.2702	27.5419	None	Flad1
337.4742	467.7298	None	Gpd1
1.9305	3.7228	None	Scai
14.1818	13.6445	None	Tshz1
16.715	11.1791	None	Bco2
0.3623	0.3645	None	5730507C01Rik
1.1681	0.462	None	G630016G05Rik
42.5495	32.4629	None	Il6ra
42.1833	29.7312	None	BC003965
33.3792	40.4329	None	Plekhg3
8.9591	10.4354	None	Prr14l
0.827	0.8295	None	Ovgp1
0.0481	0.0492	None	Dnah8
23.6424	23.294	None	Zc3h18
115.1854	27.3832	Down	Pdk1
20.1658	22.8241	None	Ankrd33b
16.5117	13.9332	None	Mettl2
2.5318	5.2139	None	Msl3l2
15.9602	14.9591	None	Ccpg1os
